PK_CAD,RAZAO_SOCIAL,FANTASIA
1022,000,"CENOFISCO CENTRO DE CAPACITACAO PROFISSIONAL LTDA","CENOFISCO"
1560,000,"MARILIA",
1036,000,"ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA.","MC DONALD'S"
1043,000,"RETRAL RECONDICIONADORA DE ENGRENAGENS E TRATORES LTDA - ME","RETRAL"
1005,000,"FREIOS CONTROIL LTDA","FREIOS CONTROIL"
1620,000,"RGA COMPONENTES",
2317,000,"AWA PRODUTORA DE FILMES LTDA","AWA FILMS"
2196,000,"LS SANTOS METALÚRGICA","EMPRESA DO GRUPO TOQUE COLOR"
976,000,"KAP COMPONENTES ELÉTRICOS LTDA","KAP"
1048,000,"OTICA GUAYBA LTDA","VIP JOALHERIA E OTICA"
1050,000,"SANDRA REGINA LIMA DUARTE ME","MARAGUA DISTRIBUIDORA DE BEBIDAS"
1047,000,"HB TRANSPORTES E LOGISTICA LTDA","TRANSITO BRASIL"
1051,000,"WEG EQUIPAMENTOS ELETRICOS S/A",
1045,000,"SIPLAS INDUSTRIA DE PLSSTICOS LTDA","SIPLAS PLASTICOS"
1805,000,"DIGÍMER PRODUTOS DE INFORMÁTICA LTDA.","DIGIMER"
981,000,"BAUMIER AUTOMATION LTDA","BAUMIER"
1041,000,"RICARDO LUIS VOGT ME","VERA VOGT EVENTOS"
982,000,"E M DA SILVA NUNES - EPP","LIVRARIA ESCOLAO"
1049,000,"EXPRESSO SANTA LUZIA LTDA","EXPRESSO SANTA LUZIA"
983,000,"DIGESSO COMERCIO DE GESSO LTDA ME","DIGESSO"
1023,000,"PETISKEIRA ALIMENTOS LTDA.","PETISKEIRA"
1038,000,"ITU COMPONENTES INDUSTRIA E COMERCIO LTDA","ITU COMPONENTES"
1039,000,"DEMONTERS MONTAGENS DE DIVISORIAS LTDA","DEMONTERS"
1007,000,"RESTAURANTE UNGARATHO LTDA","RESTAURANTE QUERENCIA"
1021,000,"RUBENS SILVEIRA DA CUNHA E CIA LTDA","MERCADO CITY"
1046,000,"EJARA DA SILVA ALVES","AMV MANUTENCAO PREDIAL"
1037,000,"SUPRILIMP SISTEMAS DE LIMPEZA LTDA","SUPRILIMP"
969,000,"ESTINSUL EQUIPAMENTOS DE PREVENCAO CONTRA INCENDIO LTDA EPP","ESTINSUL"
1040,000,"MADEIREIRA HERVAL LTDA","TAQI"
1367,000,"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS","ECT - SERTORIO POA"
970,000,"MDS EMPREENDIMENTOS IMOBILIARIOS LTDA - EPP","MDS IMOBILIARIA"
971,000,"JORNADA E COELHO COMERCIALIZACAO DE IMOVEIS LTDA - ME","JORNADA E COELHO"
1044,000,"REITER TRANSPORTES E LOGISTICA LTDA","REITERLOG"
1054,000,"NEW GLASS VIDROS AUTOMOTIVOS LTDA ME","NEW GLASS VIDROS AUTOMOTIVOS LTDA ME"
1055,000,"AUXILIADORA PREDIAL LTDA","AUXILIADORA PREDIAL"
1056,000,"CLF PLASTICOS LTDA","CLF"
1052,000,"PRESTEX ENCOMENDAS EXPRESSAS LTDA",
1057,000,"SCAN ELECTRONIC EQUIPAMENTOS INDUSTRIAIS LTDA","SCAN DO BRASIL"
1062,000,"CASSOL MATERIAIS DE CONSTRUÇÃO LTDA","CASSOL CENTERLAR"
1065,000,"PATRULHA SUL MONITORAMENTO E SERVIÇOS EMPRESARIAIS LTDA","PATRULHA SUL"
1060,000,"MARCO AURELIO PINHEIRO BARROS","ELITTE UNIFORMES"
1063,000,"PEDRO ALCINO ROSA DA SILVEIRA - ME","HAWAI PESCA CLUB"
1077,000,"DIFERENCE CABOS COMERCIO E REPR. LTDA - ME","DIFERENCE CABOS"
1066,000,"LIMA E SONEMANN LTDA ME","MULTI COPIAS"
1053,000,"PLANALTO ENCOMENDAS LTDA","PLANALTO ENCOMENDAS LTDA"
1068,000,"TRANSPORTADORA MINUANO LTDA","EXPRESSO MINUANO"
1078,000,"PROFIOS PRODUTOS ELETRICOS LTDA",
1067,000,"TAE YOUNG BRASIL LTDA","TAE YOUNG BRASIL LTDA"
1090,000,"SOB SCHURTER OKW DO BRASIL LTDA","SOB SCHURTER OKW DO BRASIL LTDA"
1091,000,"V.M. MARQUES","MERCADO MARQUES"
1099,000,"BONESMAQ AUTOMAÇÃO E SERVIÇOS EIRELI",
1100,000,"DS MULLER TRANSPORTES E LOGISTICA LTDA","JA TRAZ TRANSPORTE E LOGISTICA LTDA"
1071,000,"RICARDO RAMOS CORREA - ME","AVATEC"
1073,000,"BILHARES ASA BRANCA LTDA",
1072,000,"PRIMARY CARE PROD. MEDICOS HOSPIT. E DE SERGURANÇA LTDA - ME","PRIMARY CARE"
1101,000,"MADEM S/A INDÚSTRIA E COMÉRCIO DE MADEIRAS E EMBALAGENS","MADEM"
1102,000,"INDUSTRIA METALURGICA IMEPP LTDA","IMEPP"
1070,000,"THYSSENKRUPP ELEVADORES S.A",
1069,000,"APTA VEICULOS E REPRESENTAÇÕES COMERCIAIS LTDA","MOVIDA RENT A CAR"
1085,000,"DAY BRASIL S/A","DAY BRASIL"
1096,000,"JAVI PERSONALIZAÇÕES LTDA - ME","JAVI PERSONALIZAÇÕES LTDA"
1103,000,"B&B COMÉRCIO DE MATERIAIS ELÉTRICOS LTDA","B&B MATERIAIS ELÉTRICOS"
1104,000,"EGF - EQUIPAMENTOS INDUSTRIAIS LTDA","EGF EQUIPAMENTOS INDUSTRIAIS LTDA"
1074,000,"DETRAN - SISTEMA INTEGRADO DE TRANSITO","DETRAN"
1110,000,"RESULTS ASSESSORIA E ADMNISTRACAO LTDA","TRAVELINN"
1131,000,"REFRIGERAÇÃO DUFRIO COM. E IMP. LTDA","DUFRIO"
1111,000,"LF SILVEIRA COMERCIO DE FERRAMENTAS LTDA","LF"
1134,000,"WT DISTRIBUICAO DE SEMICONDUTORES LTDA","W/TECH"
1112,000,"LOCALIZA RENT A CAR S.A","LOCALIZA RENT A CAR S.A"
1084,000,"PRONTO SOCORRO DAS CHAVES","PRONTO SOCORRO DAS CHAVES"
1153,000,"GUAIBA CARTORIO DO REGISTRO DE IMOVEIS","CARTORIO DO REGISTO DE IMOVEIS"
1154,000,"CIAPRAT COMERCIO DE MOVEIS PARA ESCRITORIO LTDA","COMPANHIA DAS PRATELEIRAS"
1086,000,"BELLER COMÉRCIO DE PAPÉIS LTDA","CASA DO PAPEL"
1156,000,"LOPES E MENEZES EMPREENDIMENTOS IMOBILIARIOS LTDA","L & M INCORPORAÇÕES"
1124,000,"GRAÇA LUIZA AZEVEDO DA SILVA","HOTEL POUSADA GUAIBA"
1088,000,"PLASTICOVILLE IND E COM PRO PLASTICOS LTDA","PLASTICOVILLE"
1113,000,"PAULO E DAVID BATERIAS E ACESSORIOS LTDA","CASTELO BATERIAS"
1097,000,"ARGEU JOSE MENDES & CIA LTDA - ME","MENDES & FILHO LTDA"
1157,000,"INFOAR COM.E SERV.EM AR CONDICIONADO E INF. LTDA","INFOAR"
1167,000,"CONQUISTE TECNOLOGIA LTDA - ME","CONQUISTE TECNOLOGIA"
1194,000,"FABIANO BRESOLIN MUNARI  & CIA LTDA","ALUMINIOS GUAIBA"
1171,000,"POLI TAPE INDUSTRIA E COMERCIO DE FITAS ADESIVAS LTDA","POLI TAPE FITAS ADESIVAS"
1193,000,"MIRTES MARIA FROZZA","SUPER DUBOM"
1164,000,"JOIAS KELLY LTDA","BIJOUTERIAS KELLY"
1165,000,"BVQI DO BRASIL SOCIEDADE CERTIFICADORA LTDA.","BVQI"
1170,000,"NATALICIO LANSING","NATALICIO LANSING"
1195,000,"M J S COMERCIO DE AUTO PARTES LTDA - ME","MJS"
1196,000,"THYSSENKRUPP ELEVADORES S/A 23 - RJ","THYSSEN - NITEROI"
1098,000,"HTC COMÉRCIO DE CONECTORES LTDA ME","HTC COM CONECTORES"
1210,000,"CORREA & MOTTA LTDA","INSTALEAR"
1082,000,"KAVO DO BRASIL INDUSTRIA E COMERCIO LTDA","KAVO"
1079,000,"MARITIMA SEGUROS S.A","MARITIMA"
1125,000,"LUMOBRAS LUBRIFICANTES ESPECIAIS LTDA",
2111,000,"MATV SUL ELETRONICOS LTDA","MATV SUL"
1231,000,"KELSI ENGENHARIA LTDA ME","KELSI"
1220,000,"GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA","TAQUI"
1340,000,"REITER TRANSPORTES E LOGISTICA LTDA","REITER"
1232,000,"ESA SERVICE SERVICOS EM RH E INFORMATICA LTDA ME","PSICOVIDA"
1218,000,"BRASIL SUL COM. E MONTAGENS DE COMPRESSORES LTDA - ME","COMPRESSORES-SUL"
1239,000,"LEMP LABORATORIO ELETRONICOS MECANICO DE PRECISÃO","LEMP"
1241,000,"ELETRICAL ELETRICA GERAL LTDA","ELÉTRIC"
1244,000,"SERVICO NACIONAL DE APREND. COM. SENAC AR RS","SENAC AR RS"
1247,000,"BRASPRESS TRANSPORTES URGENTES LTDA",
1257,000,"REFRIMATE ENGENHARIA DO FRIO LTDA","REFRIMATE"
1307,000,"BEYOND DOMOTICS ELETRONICOS LTDA EPP","BEYOND DOMOTICS"
1158,000,"MELCO ELEVADORES DO BRASIL S.A.","MITSUBISHI MOTORS"
1139,000,"CENTRO INTEGR ED CIENCIA TECNOLOGICA LTDA.","UNINTER GRUPO EDUCACIONAL"
1172,000,"ICARUS - IMOBILIARIA E CONSULTORIA LTDA - EPP",
1159,000,"MANOEL CELOI DA SILVA MEDEIROS ME","MADEREIRA CITY"
1173,000,"FABRICIO DA SILVA BORGES - ME","MASTERTEC"
1161,000,"SILVIO WILSON KRUGER","TABELIONATO DE NOTAS"
1147,000,"MAURO CESAR SOARES DA ROCHA ME","MR COMERCIAL"
1168,000,"REFEICOES NUTRIBRAS LTDA",
1211,000,"S.G. INDUSTRIA E COMÉRCIO DE PLASTICOS E","SG PLÁSTICOS SAINT GOBAIN"
1207,000,"EFITRANS TRANSPORTES LTDA",
1169,000,"AGRITECH LAVRALE S.A MAQUINARIO E COMPONENTES","YANMAR AGRITECH"
1212,000,"ROTIPLAST INDÚSTRIA DE PLÁSTICOS LTDA","ROTIPLAST"
1174,000,"FEDERAL EXPRESS CORPORATION","FEDEX"
1245,000,"GUIA DE ARRECADACAO DETRAN RS","DETRAN RS GAD-E"
1175,000,"DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL","DPRF"
1225,000,"IFM ELECTRONIC LTDA","IFM ELECTRONIC LTDA"
1234,000,"ALFA TRANSPORTES EIRELI","ALFA"
1236,000,"ARNO MACAGNAN & FILHO LTDA","MACAGNAN FERRAGENS"
1240,000,"TAIS NUNES DE QUADROS - ME","TOK GRAF"
1246,000,"SERVICOS NOTORIAS E REG. DE ELDORADO DO SUL","TABELIONATA DE NOTAS"
1258,000,"HIDRAMAVE COMÉRCIO DE PROD HIDR E VED LTDA.","HIDRAMAVE"
1237,000,"DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTE","DNIT"
1238,000,"TKPE CONSTRUTORA E INCORPORADORA LTDA - EPP",
1083,000,"MEGACABOS IND. E COM. CABOS ESPECIAIS LTDA","MEGATRON"
1213,000,"TABELIONATO DE NOTAS","SERGIO AFONSO MANICA"
1163,000,"MARIBEL PAIM COSTA","CM EMPILHADEIRAS"
1197,000,"BRINGER DO BRASIL AGENCI. DE CARGAS NACIONAIS E INTERNA","BRIX"
1148,000,"TECNOCRIMPER INDUSTRIA E COMERCIO LTDA","TECNOCRIMPER"
1149,000,"CENTERPLASTER PRODUTOS PARA CONSTRUCAO LTDA",
1176,000,"MULTBOX INDUSTRIA E COMERCIO LTDA - EPP","MULTBOX"
1177,000,"PAULO A C NUNES - ME","MERCADO PAULINHO"
1198,000,"EXPRESSO MARAUTO LTDA - ME","EXPRESSO MARAUTO LTDA - ME FILIAL PORTO ALEGRE"
1199,000,"GUIA UNICA DE CUSTAS",
1214,000,"TCS INDUSTRIA DE COMP.DE COMUICACAO E SISTEMA DE SEGURANCA","FKS"
1928,000,"PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A","PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A"
1200,000,"BOLL PROCESSAMENTO DE DADOS LTDA","BOLL PROCESSAMENTO DE DADOS LTDA"
1178,000,"HOTEL ETALAN EIRELI - EPP",
1150,000,"IMPOSTO SOBRE A TRANSMISSAO DE BENS IMOVEIS","ITBI"
1151,000,"OLDISI COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - ME","GUAIBA PADARIA E EMBALAGENS"
1145,000,"RENATA TARNOWSKI FRAGA","LUMA EXTINTORES"
1208,000,"MALTEC INDUSTRIA E COMERCIO DE MAQ. LTDA",
1215,000,"FABIO DOS SANTOS SILVA","BIG BURGER"
1179,000,"VABSCO-ABS COMPONENTES LTDA.","VABSCO-ABS COMPONENTES LTDA."
1264,000,"RÁPIDO GARIBALDI DE TRANSP LTDA",
1180,000,"ASSOCIACAO GAUCHA PARA A QUALIDADE","AGQ"
1265,000,"RAPIDO GARIBALDI DE TRANSP LTDA",
1221,000,"PORT DISTRIBUIDORA DE INFORMATICA E PAPELARIA LTDA","PORT INFO"
1209,000,"FLAVIO CASTELO & CIA LTDA - ME",
1201,000,"MAGNER PEREIRA DA SILVA 00472323075","H W ELETRICA"
1314,000,"ADOLFO MANOEL SEBASTIAO JUNIOR","SULPAO PADARIA E CONFEITARIA"
1315,000,"DANEVA MÁQUINAS E CONDUTORES ELÉTRICOS LTDA","DANEVA"
1316,000,"ACF GOETHE LTDA - EPP","ACF GOETE - COMERCIO E SERVIOS"
1320,000,"PCP PARAFUSOS INDUSTRIAL E COMERCIAL LTDA - EPP","PCP PARAFUSOS"
1278,000,"JR EQUIPAMENTOS E SERVICOS DE COMBATE A INCENDIO LTDA - ME","LUMA EXTINTORES"
1270,000,"JOAO CARLOS CICHON - ETIQUETAS","CICHON"
1280,000,"FISCONETASSESSORAMENTO FISCAL LTDA","FISCONET"
1226,000,"EXCEL DISTRIBUIÇÃO DE MATERIAL ELÉTRICO LTDA","EXCEL"
1235,000,"INSTITUTO EDUCACIONAL LTDA","IBGEN"
1281,000,"C.V. BECKERLE GUAIBAPEL - ME",
1327,000,"B2W COMPANHIA DIGITAL","SHOPTIME"
1313,000,"WEGO SISTEMAS - FABRICACAO DE COMPONENTES ELETRONICOS EIRELI","WEGO SISTEMAS"
1328,000,"REITER TRANSPORTES E LOGISTICA LTDA","REITER"
1330,000,"PLASKINI IND E COM DE PLAST LTDA","PLASKINI"
1333,000,"RICARDO BORBA PLOCHARSKI","RBP MANUTENCAO ELETRICA"
1332,000,"LUIZ ARGENTA VINHOS FINOS LTDA","LUIZ ARGENTA"
1317,000,"DOMINIK COMÉRCIO E INDUSTRIA DE METAIS E EQUIPAMENTOS LTDA","DOMINIK METAL CENTER"
1331,000,"FERNANDO FRASCARI - EPP",
1282,000,"AKSO PRODUTOS ELETRONICOS LTDA",
1290,000,"BRASCABOS COMPONENTES ELÉTRICOS E ELETRÔNICOS LTDA.","BRASCABOS"
1318,000,"REITER TRANSPORTES E LOGISTICA LTDA","REITER"
1228,000,"EDITORA ATLAS SA",
1229,000,"G. PANIZ INDUSTRIA DE EQUIPAMENTOS PARA ALIMENTAÇÃO LTDA","G.PANIZ"
1253,000,"LIFEMED INDUSTRIAL DE EQUIPAMENTOS E ARTIGOS MÉDICOS E HOSPI","LIFEMED"
1284,000,"MUNICIPIO DE GUIABA","GUAIBA PREF GABINETE DO PREFEITO"
1334,000,"GASIL COMERCIO IMPORTACAO LTDA",
1676,000,"AXT","AXT"
1298,000,"MASTERBALANCAS MANUTENCAO EM EQUIP. LTDA",
1242,000,"DANIEL O DOS SANTOS - ME",
1254,000,"REAL POLYMERS INDUSTRIA E COMERCIO LTDA - EPP","REAL POLYMERS"
1255,000,"GLOBAL TECNOLOGIA INDUSTRIA LTDA EPP",
1256,000,"TRANSNET COM IMP E EXP DE PROD DE SEGURANÇA LTDA","TRANSNET"
1243,000,"WEGFLEX IND COM LTDA-ME","WEGFLEX"
1277,000,"ERLANE LOPES SILVEIRA - ME","NINA MODAS"
1283,000,"NICANOR RODRIGUES NETO TELEINFORMATICA-EPP","LANDEL TELEINFORMATICA"
1272,000,"ANTONIO R. DA SILVA DA ROSA - 013163368041",
1291,000,"TRANSJOI TRANSPORTES LTDA","TRANSJOI TRANSPORTES LTDA"
1293,000,"REFAL INDUSTRIA E COMERCIO DE REBITES E REBITADORAS LTDA","REFAL STANLEY"
1273,000,"SHOPFISIO COMERCIO IMPORTADORA E EXPORTADORA LTDA",
1335,000,"INTEGRAÇÃO CONSULTORIA E TREINAMENTO LTDA",
1319,000,"GASPARINO GONÇALVES PEREIRA",
1089,000,"PKS MANUFATURADOS LTDA",
1274,000,"FERIAS FUNCIONARIOS",
1299,000,"FRIOVIX COMERCIO DE REFRIGERACAO LTDA","FRIOVIX"
1092,000," EXCEL - DISTRIBUICAO DE MATERIAL ELETRICO LTDA"," EXCEL DISTRIBUIDORA"
1081,000,"M O SARTORIO","CACAU SHOW"
1093,000,"MAQUINAS MORBACH LTDA","MORBACH"
1094,000,"BRASIL UTIL ATACADO E DISTR. DE MAT. DE CONSTRUÇÃO LTDA - ME","BRASIL UTIL"
1259,000,"LAUNER PACK EMBALAGENS LTDA-ME",
1202,000,"CRISTOPHER DOS SANTOS ME",
1294,000,"FRONTEC INDUSTRIA DE COMPONENTES DE FIXAÇÃO LTDA","FRONTEC"
1105,000,"TELEFONICA BRASIL S/A",
1135,000,"TRANSFORMADORES UNIÃO INDÚSTRIA E COMÉRCIO LTDA.","UNIÃO TRANSFORMADORES"
1181,000,"CARTROM INDUSTRIA DE EMBALAGENS",
1182,000,"FATI FERRAMENTAS LTDA",
1203,000,"ABASTECEDORA DE COMBUSTIVEIS RIOXEL LTDA","POSTO DOS LAGOS"
1136,000,"FUNDACAO DOM CABRAL","FUNDACAO DOM CABRAL"
1106,000,"JN PEREIRA & CIA LTDA - ME",
1138,000,"ALEX LOPES DE FRAGA","FOCAS FILME"
1204,000,"ABT COMERCIAL ELÉTRICA LTDA","ABT"
1183,000,"HLS COMERCIO DE ALIMENTOS LTDA - EPP","NANKING"
1126,000,"GAJACOM INDUSTRIAL LTDA","GAJACOM"
1261,000,"TECON RIO GRANDE S/A",
1262,000,"METALURGICA TORRE INDUSTRIA E COMERCIO LTDA","METALURGICA TORRE"
1184,000,"VALDIR LIONEL FARIA MORAES ME","JEFF GRILL"
1132,000,"ACT ELETRONICA LTDA","ACT ELETRONICA"
2259,000,"MM TURISMO & VIAGENS S.A","MAXMILHAS"
1133,000,"MC MACHADO CABOS ESPECIAIS","CONDUCAB FIOS E CABOS ELÉTRICOS"
1300,000,"JOSE EDSON SOARES LEAL E CIA LTDA - ME","JB EMBALAGENS PLASTICAS"
1310,000,"STRAPET EMBALAGENS LTDA","STRAPET EMBALAGENS LTDA"
1185,000,"EXPRESSO SAO MIGUEL LTDA",
1263,000,"COMERCIAL ELETRICA DW S/A","COMERCIAL ELETRICA DW"
1279,000,"LUIS ROMÁRIO SOARES BORGES",
1230,000,"MANUFATURA DE METAIS MAGNET LTDA","MMMAGNET"
2260,000,"HOPERGRAF",
1976,000,"CIT EXPRESS ENCOMENDAS LTDA.","CIT EXPRESS ENCOMENDAS LTDA."
1308,000,"SPRINGER CARRIER LTDA - SP","MIDEA CARRIER"
1321,000,"VMU INDÚSTRIA E COMÉRCIO LTDA","VMU"
1322,000,"SC INDUSTRIA DE EQUIPAMENTOS ELETRÔNICOS LTDA","SECURICENTER"
1323,000,"TEKNOFLEX RS BORRACHAS TECNICAS LTDA","TEKNOFLEX"
1285,000,"RDF - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS",
1107,000,"ARLINDO PALIARINI-ME","ARPHA INFORMATICA"
1286,000,"ANDRE LUIS MARCHIORO ME","SYSTEM CARD"
1275,000,"BREDA COMERCIO E IMPORTACAO LTDA - EPP","BREDA COMERCIO E IMPORTACAO"
1152,000,"AGENCIA FOCCO CONSULTORIA, SERVICOS E COMERCIO LTDA - ME","AGENCIA FOCCO"
1108,000,"SOCIEDADE EDUCACIONAL PENSAR LTDA","PENSAR"
1276,000,"EMBRATEL","EMBRATEL"
1287,000,"EMBALAGENS DO VALE LTDA - ME",
1109,000,"GUIA DE ARRECADACAO","GA"
1186,000,"CD -SIPAR FERRAMENTAS LTDA","SIPAR"
1305,000,"GESTOFLEX COMERCIO DE COMPONENTES DE SINALIZACAO LTDA - EPP","GESTOFLEX"
1288,000,"KATIUZE BIOLO DENTI 02188604040",
1289,000,"INTERAGE WEB DESIGN LTDA - ME","INTERAGE WEB"
1306,000,"SUPERMERCADO DO PAULINHO LTDA","SUPER PAULINHO"
1248,000,"HOTEL GUAIBA","HG HOTEL GUAIBA"
1324,000,"ROBERT BOSCH LTDA","BOSCH"
1140,000,"J&J INDUSTRIA DE EMBALAGENS LTDA",
1301,000,"FOCO AGENCIA DE CARGAS LTDA",
1336,000,"WCA COMERCIO DE ALIMENTOS LTDA","MERCADO INDIO"
1114,000,"LUOTT ELETROCOMPONENTES LTDA","LUOTT"
1206,000,"CABOS GOLDEN AUDIO E VIDEO LTDA EPP","CABOS GOLDEN"
1187,000,"DELTASUL UTILIDADES LTDA",
1266,000,"LUIS DRESCH - EPP","DRESCH SPORT"
1267,000,"NESTLE BRASIL LTDA",
1249,000,"THIAGO BOTELHO ALVARENGA","REPRESENTANTE  SP"
1268,000,"POSITIVA - DISTRIBUIDORA DE PRODUTOS DE HIGIENE E LIMPEZA LT","POSITIVA - SISTEMAS DE HIGIENIZAO E LIMPEZA"
1311,000,"AURENI RIOS DE OLIVEIRA APIOLAZA","LAVANDERIA GUAIBA"
1250,000,"ANDRE LUIS MAROCCO DE BORBA - ME","MICROTEC ELETRO ELETRONICA LTDA"
1146,000,"SIPAR FERRAMENTAS LTDA","SIPAR"
1251,000,"ODAIR DE OLIVEIRA ROSA TRANSPORTADORA - ME","SILAS LOG TRANSPORTES"
1188,000,"DELTASUL UTILIDADES LTDA",
