PK_CAD,RAZAO_SOCIAL,FANTASIA
1848,000,"BIGFER IND E COM DE FERRAGENS LTDA","BIGFER"
1849,000,"ADD-THERM IND. COM. SENSORES ESPECIAIS LTDA","ADD THERM"
1776,000,"CONSTRUTORA ENGEMOLD - ESTRUTURAS PRE FABRICADAS LTDA","CONSTRUTORA ENGEMOLD"
1777,000,"CORUJA COLORIDA ARMARINHO LTDA","CORUJA COLORIDA"
1762,000,"RGA – USINAGEM LTDA – ME","RGA USINAGEM"
1778,000,"VRVV ENGENHARIA, CONSULTORIA, SERVICOS E ASSISTENCIA TECNICA","VRVV"
1779,000,"MS INDÚSTRIA E COMERCIO DE PEÇAS EIRELI","BRASTEC COMPONENTS"
1780,000,"AMC MUDANCAS E TRANSPORTES LTDA","AMC MUDANCAS E TRANSPORTES LTDA"
1781,000,"ASIA SHIPPING TRANSP.INTERNACIONAIS LTDA","ASIA SHIPPING"
1868,000,"AZUL LINHAS AEREAS BRASILEIRAS S.A.","AZUL LINHAS AEREAS BRASILEIRAS S.A."
1857,000,"LOCALIZA RENT A CAR S.A","LOCALIZA RENT A CAR S.A"
1869,000,"MARCIO ROBLES TUCHTENHENGEN","MARCIO ROBLES TUCHTENHENGEN"
1870,000,"PLASTICOS DAGIMA INDUSTRIA LTDA.","PLASTICOS DAGIMA"
1872,000,"SOS SISTEMAS DE SEGURANCA","SOS SISTEMAS DE SEGURANCA"
1873,000,"OEMS, EMSS, DISTRIBUTORS AND INDUSTRIAL DIVISION",
1874,000,"EKOMP COMERCIO DE COMPONENTES (REPRESENTANTE LEAR)",
1876,000,"IMPLASTEC PLAST. TEC. E LUBR. ESP. LTDA","IMPLASTEC"
1877,000,"GEBELI COMERCIAL ELETROELETRÔNICA LTDA – IMPORTADORA E EXPOR","GEBELI"
1878,000,"JONAS MODAS LTDA","JONAS MODAS LTDA"
1879,000,"FERNANDO DE OLIVEIRA MADEIRA","FOMTEC"
1858,000,"METALÚRGICA MONARCA LTDA","METALÚRGICA MONARCA"
1859,000,"MADEIREIRA SANLU LTDA - EPP","SANLU"
1860,000,"BET PLASTICOS LTDA.","BET PLÁSTICOS"
1861,000,"SERGIOMAR PEREIRA DE MATTOS 47994746004","MARANATA TRANSPORTES"
1882,000,"OBRA FACIL COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA","OBRA FACIL COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA"
1880,000,"3M PROMOTORA DE VENDAS LTDA - ME","3M PROMOTORA DE VENDAS LTDA - ME"
1862,000,"NACIONAL DO AÇO COMÉRCIO E PARTICIPAÇÕES LTDA","ARCELORMITTAL"
1871,000,"COMERCIAL ELETRICA DW LTDA","COMERCIAL ELETRICA DW"
1881,000,"LABOR IMPORT COMERCIAL IMPORTADORA EXPORTADORA LTDA","LABOR IMPORT"
1863,000,"WABE INDUSTRIA E COMERCIO LTDA EPP","WABE CONECTORES"
1864,000,"EXATRONIC INDUSTRIA E COMERCIO EIRELI","EXATRONIC"
1865,000,"PROESI COMPONENTES ELETRONICOS LTDA","PROESI COMPONENTES ELETRÔNICOS"
1866,000,"DIGICABO","DIGICABO"
1867,000,"ARCELORMITTAL BRASIL S.A","ARCELORMITTAL"
1904,000,"SS CONSTRUCAO LTDA. - ME","SS LTDA."
1923,000,"CBP COMEX IMPORTAÇÃO E COMERCIO DE PAPEL LTDA","NACIONAL PAPER"
1913,000,"HANOVER PNEUS LTDA - CEARA",
1907,000,"BOLIVAR PRODUTOS PLÁSTICOS LTDA","BOLIVAR PLASTICOS"
1914,000,"SAVARAUTO COMERCIO IMP. E EXP. DE VEICULOS",
1925,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
1915,000,"G S HOTEIS EIRELI - ME","G S HOTEIS EIRELI - ME"
1926,000,"WMB COMERCIO ELETRONICO LTDA","WALMART"
1916,000,"IVOBOR INDÚSTRIA E COMÉRCIO DE ARTEFATOS DE BORRACHA LTDA- E","IVOBOR INDÚSTRIA E COMÉRCIO DE ARTEFATOS DE BORRACHA LTDA- E"
1917,000,"JOMAT INDÚSTRIA DE ARTEFATOS DE CIMENTO LTDA.","JOMAT INDÚSTRIA DE ARTEFATOS DE CIMENTO LTDA."
1908,000,"GRAVATAI SERVICOS E SONDAGENS LTDA - ME","GRAVATAI SERVICOS E SONDAGENS"
1918,000,"JCN INDUSTRIA E COMERCIO EIRELLI","ELECTRIC RS"
1919,000,"GREEN AGE COMERCIO DE ACESSORIOS LTDA ME","GREEN AGE COMERCIO DE ACESSORIOS LTDA ME"
1920,000,"MEGALUX ILUMINACAO - EIRELI","MEGALUX ILUMINACAO - EIRELI"
1921,000,"FERRAMENTAS GERAIS COMERCIO E IMPORTACAO DE FERRAMENTAS E MA","FERRAMENTAS GERAIS FG"
1922,000,"CARLOS ROBERTO DE ALMEIDA TESSA - ME","CARLOS ROBERTO DE ALMEIDA TESSA - ME"
1883,000,"ALFA TRANSPORTES",
1884,000,"WP SERVICOS DE SEGURANCA PORTARIA E LIMPEZA LTDA - ME","WP SERVICOS DE SEGURANCA"
1885,000,"LUIS CARLOS MURLIK EPP","MURLIK PINTURA ELETROSTÁTICA"
1886,000,"EXPRESSO ORIENTE",
1887,000,"YAZAKI DO BRASIL  LTDA","YAZAKI"
1888,000,"ALFATRONIC","ALFATRONIC (REVENDA HARNESSFLEX)"
1889,000,"FV MODA COURO LTDA - ME","FV MODA COURO LTDA - ME"
1890,000,"OUTLED ILUMINACAO LTDA - ME","OUTLED ILUMINACAO"
1891,000,"OLIMAR INDUSTRIA E COMERCIO DE METAIS SANITARIOS LT - ME","OLIMAR INDUSTRIA E COMERCIO DE METAIS SANITARIOS LT - ME"
1892,000,"BRASJET INDUSTRIA E COMERCIO DE TINTAS LTDA - EPP","BRASJET INDUSTRIA E COMERCIO DE TINTAS LTDA - EPP"
1893,000,"LUIS FELIPE OLIVEIRA DA SILVA 02121349065","ADESIVOS PRO"
1894,000,"ABC ATACADO BRASILEIRO DA CONSTRUCAO S.A.","ABC ATACADO BRASILEIRO DA CONSTRUCAO S.A."
1895,000,"TRANSPORTADORA AMERICANA LTDA","TRANSPORTADORA AMERICANA LTDA"
1896,000,"SGS DO BRASIL LTDA","SGS DO BRASIL LTDA"
1897,000,"PH COMERCIO DE FERRAMENTAS LTDA-ME","PH"
1929,000,"SILVEIRA MATERIAIS ELETRICOS LTDA","SULINA ILUMINAÇÃO"
2015,000,"FL BRASIL HOLDING LOGISTICA E TRANSPORTE LTDA",
1933,000,"KINGSPAN - ISOESTE IND CONSTRUTIVOS ISOTERMICOS S/A","ISOESTE INDUSTRIA E COMERCIO DE ISOLANTES TERMICOS LTDA"
1934,000,"BEL MICRO COMPUTADORES LTDA","COMPREBEL"
1935,000,"DARF 5856- COFINS",
1936,000,"DARF 6912- PIS",
1946,000,"POSITIVO TECNOLOGIA S/A",
1947,000,"LAINI & LAHUDE SOLUCOES ESTRUTURAIS SOCIEDADE SIMPLES","LAINI & LAHUDE SOLUCOES ESTRUTURAIS SOCIEDADE SIMPLES"
1938,000,"CORDEIRO CABOS ELETRICOS S.A.","CORDEIRO"
1939,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS"
1940,000,"TELIS ELETRONICOS - EIRELI - EPP","TELIS"
1994,000,"VERA T. B. MONTEIRO","ACRICENTER"
1948,000,"ICHIP TECNOLOGIA LTDA-ME","SOLDA FRIA"
1949,000,"MARGARETE RIBEIRO 72593873000","LAVA E SECA LAVANDERIA"
1930,000,"TECMOLD INDUSTRIA E COMERCIO LTDA","TECMOLD INDUSTRIA E COMERCIO LTDA"
1952,000,"TECTRANS LOGISTICA","TECTRANS LOGISTICA"
1953,000,"S.37 COMERCIO DE SALVADOS","TUFFY IMPRESSORAS E ARTIGOS DE INFORMÁTICA"
1954,000,"GROSSER NOGUEIRA E CIA LTDA","GROSSER NOGUEIRA"
1955,000,"GRUPOSUL MATERIAIS ELÉTRICOS","GRUPOSUL MATERIAIS ELÉTRICOS"
1941,000,"CONSORCIO BRADESCO",
1942,000,"POLEODUTO  INDÚSTRIA E COMÉRCIO DE ELETRO-MECÂNICOS LTDA.","POLEODUTO"
1931,000,"TERMOTUBOS IMPORTAÇÃO E EXPORTAÇÃO EIRELI","TERMOTUBOS"
1957,000,"PRISMA CONTAINER LTDA ME","PRISMA CONTAINER"
1958,000,"CARNETTI E DIAS COMERCIO DE GAS LTDA","GUAIBA GAS"
1960,000,"VALTER LUIS FROES BRASIL","FERRAGEM DO VALTER"
1961,000,"G A WERLANG GESTÃO E AMBIENTE LTDA","G A WERLANG"
1964,000,"KABUKM EXPLOSAO DE PRECOS BAIXOS","KABUM"
1965,000,"ARSOLCOMP COMERCIAL ELETRO ELETRÔNICOS LTDA","ARSOL"
1950,000,"DIRNEI XAVIER HERRERA","DIRNEI XAVIER HERRERA"
1956,000,"BRDE","BRDE"
1966,000,"ELETRONOR DISTRIBUIDORA DE MATERIAIS ELÉTRICOS LTDA","ELETRONOR"
1967,000,"CONTROL SINOS COMÉRCIO DE MÁQ. E EQUIP. INDUSTRIAIS LTDA","INOVASINOS"
1968,000,"BORRACHAS BMD LTDA","BMD"
1969,000,"SCHNEIDER ELECTRIC IT BRASIL IND. E COM.DE EQUIP. ELET. LTDA","SCHNEIDER ELECTRIC - CE"
1972,000,"DUVALE TRANSPORTES EIRELI - FILIAL SP","DUVALE TRANSPORTES EIRELI - FILIAL SP"
1973,000,"PAGANI E MENEGOTTO LTDA ME","JR USINAGEM ( FAZ PARA BMD BORRACHAS)"
1975,000,"FORTEX INDUSTRIA ELETRO ELETRONICO LTDA","FORTEX"
1979,000,"H-J INTERNATIONAL, INC.","H-J"
1970,000,"TECNOLOG ENGENHARIA E REPRESENTAÇÕES TÉCNICAS LTDA","TECNOLOG"
1971,000,"CLEMENTINO DE SOUZA NETO - ME","CLEMENTINO"
1977,000,"VERGALHAO TRANSPORTES E LOGISTICA","VERGALHAO TRANSPORTES E LOGISTICA"
1978,000,"ASW BRASIL TECNOLOGIA EM PLÁSTICOS LTDA","ASW BRASIL"
1980,000,"ELETROCAL IND E COM MAT ELETRICOS LTDA","CORFIO"
1981,000,"FERRAMENTAS GERAIS COM. IMP. S/A","FERRAMENTAS GERAIS FG"
1986,000,"SH FORMAS ANDAIMES E ESCORAMENTOS LTDA","SH FORMAS ANDAIMES E ESCORAMENTOS LTDA"
1982,000,"ONIX DISTRIBIDORA DE PRODUTOS ELETRICOS",
1987,000,"KEHL & BARDINI SAUDE OCUPACIONAL LTDA","PROATEN"
1983,000,"PORTORROL DISTRIBUIDORA LTDA","PORTORROL"
1984,000,"HB TRANSPORTES E LOGISTICA LTDA","TRANSITO BRASIL SP"
1988,000,"IRMAOS CHIARIELLO LTDA","FERRAMENTAS CHIARIELLO"
2284,000,"AGCO DO BRASIL SOLUÇÕES AGRÍCOLAS LTDA","AGCO CANOAS"
1985,000,"MS INSTRUMENTAÇAO INDUSTRIAL - EIRELI","MS INSTRUMENTAÇAO"
1989,000,"OTS TRANSPORTES LTDA","OTS TRANSPORTES LTDA"
1990,000,"NAT TRACTUS TELEMETRIA EPP LTDA.","TRACKTUS"
1991,000,"VERA T. B. MONTEIRO","ACRICENTER"
2012,000,"EXATRON IND. ELETR. LTDA","EXATRON"
1992,000,"NEXANS BRASIL S.A.","NEXANS"
1993,000,"A. CIDADE","DA ESQUINA LIVRARIA E PAPELARIA"
1995,000,"NEOALUMÍNIO INDÚSTRIA E COMÉRCIO DE METAIS LTDA.","NEOALUMINIO"
2013,000,"ALSI COMERCIO DE ALUMINIO LTDA","ALSI COMERCIO DE ALUMINIO LTDA"
2028,000,"ALSTEC COMÉRCIO DE EQUIPAMENTOS ELETRÔNICOS LTDA","ALSTEC"
2022,000,"CRIATIVA COMERCIO E INSTALACAO DE FORROS LTDA","CRIATIVA LTDA"
1996,000,"ESSENTRA INDUSTRIA E COMERCIO LTDA.","ESSENTRA"
1997,000,"GRUPO GRX MUNDI - AUTOTRATI/MACROSUL",
1998,000,"ELASTIFLEX",
1999,000,"ALTOPLAT PLATAFORMAS AEREAS LTDA","ALTOPLAT PLATAFORMAS AEREAS LTDA"
2000,000,"SENSE  ELETRÔNICA  LTDA.","SENSE  ELETRÔNICA  LTDA."
2001,000,"SOLLUS MECANIZAÇÃO AGRÍCOLA LTDA","SOLLUS MECANIZAÇÃO AGRÍCOLA LTDA"
2023,000,"CONSTRUTORA COVOADOS","CONSTRUTORA COVOADOS"
2024,000,"GRAJS COMERCIO ELETRONICO LTDA - ME","GRAJS"
2016,000,"TUBOS IPIRANGA INDÚSTRIA E COMÉRCIO LTDA.","TUBOS IPIRANGA INDÚSTRIA E COMÉRCIO LTDA."
2002,000,"IVO PENZ COMERCIAL LTDA.","IVO PENZ"
2017,000,"TECSOIL AUTOMAÇÃO E SISTEMA S.A","SOLINFTEC"
2003,000,"ENGEPOLI LTDA","ENGEPOLI - ENGENHARIA DO POLICARBONATO"
2004,000,"XTSUL TRANSPORTES EIRELI","EXTREMO SUL TRANSPORTES"
2018,000,"HDI SEGUROS","DEBITO BANRISUL"
2019,000,"MULT COMERCIAL COMPONENTES ELETRONICOS","SITE MULT COMERCIAL COMPONENTES ELETRONICOS"
2169,000,"BRUNA ALVES DA SILVA ME","GUAIBA EMBALAGENS"
2033,000,"AUD SERVIÇOS EIRELI - EPP","ASELSHOP"
2034,000,"FERRAMENTAS GERAIS COM. IMP. S/A","FERRAMENTAS GERAIS FG"
2020,000,"ABN & TOLEDO IMPORTACAO LTDA - ME",
2025,000,"ALAX DOUGLAS SCHMIDT JOSE","SULCALHASUL"
2021,000,"PINTO BANDEIRA AVIAMENTOS LTDA",
2006,000,"RUBIRAM CAMPAO DA SILVA 44717725034","RC GUINCHOS"
2007,000,"NISSUL VEICULOS L TDA","NISSUL VEICULOS L TDA"
2035,000,"GEMIR COMERCIO DE IMPRESSOS LTDA","GEMIR"
2036,000,"SS INDUSTRIA METALURGICA DE TELAS EIRELI","INSUL"
2008,000,"GILBERTO DA SILVA SOARES","FERRAGEM RG"
2009,000,"DUTOTEC INDUSTRIAL LTDA","DUTOTEC X"
2029,000,"METARO INDUSTRIA E COMERCIO LTDA","METARO"
2010,000,"SULINK INFORMATICA EIRELI - EPP",
2026,000,"ELETRODEX ELETRÔNICA LTDA - EPP","ELETRODEX"
2030,000,"ALTEC INDUSTRIAL E REPRESENTAÇÕES MATERIAL ELÉTRICO ELETRÔNI","ALTEC INDUSTRIAL"
2027,000,"FACA E RESOLVA COMERCIAL LTDA - EPP","FACA E RESOLVA"
2037,000,"GRAJS COMERCIO ELETRONICO LTDA - ME","GRAJS MEGASTORE"
2040,000,"GLOBAL TORNO E FRESA LTDA","GLOBAL USINAGEM"
2038,000,"ROF E MAG COMERCIO VAREJISTA DE MAT. ELETR.LTDA ME","PROJETO AGUA"
2039,000,"NESTOR BORTOLINI E CIA LTDA","BORTOLINI"
2041,000,"GRADINI - INDUSTRIA E COMERCIO DE PORTAS E ESCADAS LTDA","GRADINI - PORTA S ESCADAS E CORRIMOES"
2042,000,"EVERTON RODRIGO LOPES","EVERTON RODRIGO LOPES"
2043,000,"LUANA GOMES GARCIA","LUANA GOMES GARCIA"
2045,000,"COBO EQUIPAMENTOS AGRICOLAS E INDUSTRIAIS LTDA","COBO GROUP"
2047,000,"ELETRONOR DISTRIB DE MAT ELETRICOS LTDA.","ELETRONOR"
2049,000,"NOVECAR MÁQUINAS E ACESSÓRIOS P/MALHARIA LTDA.","NOVECAR"
2048,000,"DIGISERVI TRADING LTDA","DT OFFICE"
2050,000,"PONTO DA ELETRONICA COM. VAREJ. DE COMPON. ELETRONICOS EIREL","PONTO DA ELETRONICA"
2192,000,"JOCINELI GONSIOROSKI DOS SANTOS","FERRAGEM RAYANNE"
2051,000,"A.T.I. BRASIL ARTIGOS TÉCNICOS INDUSTRIAIS LTDA","ATI BRASIL"
2052,000,"RTO IMPORTAÇÃO E COMÉRCIO LTDA","RTO ROLAMENTOS"
2054,000,"LOI BRASIL COMERCIO ELETRONICO LTDA","LOI BRASIL"
2056,000,"BERGENTAL, MASOTTI & CIA. LTDA","SERRA TRANSPORTES"
2057,000,"IMPOSTOS FEDERAIS","IMPOSTOS FEDERAIS"
2058,000,"CRJMAC METALS COM. DE PEÇAS PARA MAQUINAS IMP. E EXP.","CRJMAC MARÇAL"
2059,000,"BOMBA SUL CONSERTOS E INSTALACOES EIRELI","BOMBASUL SERVICE"
2060,000,"ELETROMECÂNICA NELSON LTDA.",
2061,000,"PARTEX BRASIL SERVIÇO E COMÉRCIO DE EQUIPAMENTOS ELETRÔNICOS","PARTEX"
2063,000,"DIEGO CUNHA DA SILVA","COMPANY CAR"
2064,000,"INDUSTRIA METALURGICA MAZA LTDA","METALURGICA MAZA"
2083,000,"ATACADAO DO LAR COMERCIAL ATACADISTA LTDA","ATACADAO DO LAR COMERCIAL ATACADISTA LTDA"
2085,000,"BARBARA MARINHO DEMIQUILI SILVA 36635980806",""
2086,000,"BRASPRESS TRANSPORTES URGENTES LTDA","BRASPRESS TRANSPORTES URGENTES LTDA"
2087,000,"TRANSPORTE RODOVIARIO DALFAN LTDA.","TRANSPORTE RODOVIARIO DALFAN LTDA"
2088,000,"C.C.P CENTRO COM DE PARAFUSOS LTDA EPP","CCP PARAFUSOS E FERRAMENTAS"
2065,000,"COM E IND BREITHAUPT SA","BREITHAUPT"
2066,000,"BRONZEARTE INDUSTRIA E COMERCIO LTDA - EM RECUPERACAO JUDICI","BRONZEARTE INDUSTRIA E COMERCIO LTDA - EM RECUPERACAO JUDICI"
2067,000,"E. L. DUTRA MOVEIS","E. L. DUTRA MOVEIS"
2068,000,"B2W COMPANHIA DIGITAL","B2W COMPANHIA DIGITAL"
2069,000,"LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM","LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM"
2070,000,"CONSTRUTEC IMPORTACAO, EXPORTACAO, COMERCIO E SERVICOS EM CO","CONSTRUTEC"
2071,000,"VIDEO E SOM ELETRONICOS LTDA","VIDEO E SOM ELETRONICOS LTDA"
2072,000,"TOLLE MADEIRAS LTDA","TOLLE"
2073,000,"Z. CHUNLI ARMARINHOS","S.L.N. IMPORTACAO & EXPORTACAO"
2074,000,"MAZER DISTRIBUIDORA LTDA","MAZER DISTRIBUIDORA"
2075,000,"MAP COMERCIO DE ACESSORIOS PARA BOX E ESQUADRIAS LTDA","MAP COM E REPRESENTACOES"
2076,000,"ROAL INDUSTRIA METALURGICA LTDA","ROAL INDUSTRIA METALURGICA LTDA"
2077,000,"MARCELO RODRIGUES DA COSTA TATUÍ EIRELI - EPP","MRCOSTA EQUIPAMENTOS E MÁQUINAS"
2089,000,"USINA IND. COM. E IMPORTAÇÃO DE PRODUTOS DE INFORMATICA LTDA","USINA INFO"
2078,000,"KION SOUTH AMERICA FABR. EQUIP. ARMAZ. LTDA","KION (FABRICA DA STILL - TRANSPOTECH)"
2079,000,"TRANSPOTECH TRANSPORTES EIRELI","TRANSPOTECH TRANSPORTES EIRELI"
2080,000,"KION SOUTH AMERICA FABRICACAO DE EQUIPAMENTOS PARA ARMAZENAG","KION SOUTH AMERICA FAB DE EQUIP PARA ARM LTDA"
2081,000,"GILENO FERRAO FREITAS 98635204034","SERRALHERIA PRETO MANIA"
2082,000,"THYSSENKRUPP ELEVADORES SA","THYSSENKRUPP ELEVADORES SA"
2265,000,"OTIMIZA ASSESSORIA EM ENGENHARIA","OTIMIZA ASSESSORIA EM ENGENHARIA"
2096,000,"ORIGINAL – INDÚSTRIA ELETROELETRÔNICA LTDA","ORIGINAL"
2104,000,"F KNAK - LOCACOES","FERRO FORTE LOCACOES"
2097,000,"TRANSPORTES DIAMANTE LTDA","DIAMANTE"
2098,000,"ANA PAULA DE LIMAS BICA ME","FABIO VIDROS"
2099,000,"OPERUM SERVIÇOS TÉCNICOS E ADMINISTRATIVOS LTDA.- ME","STRIPTEK - SCHAEFER"
2102,000,"SANTOS E BARTZ MOVEIS PLANEJADOS LTDA","SANTOS E BARTZ MOVEIS PLANEJADOS LTDA"
2103,000,"MGF INDUSTRIA ELETRONICA LTDA","MGF (MEGADEF INDUSTRIA)"
2266,000,"DELCAFLEX INDUSTRIA E COMERCIO LTDA","DELCAFLEX - ANTIGA INDELFLEX"
2100,000,"ANDRE RODRIGO NASCIMENTO DA SILVA","SÓ CADEIRAS"
2109,000,"ENERGIA GRUPOS GERADORES LTDA","ENERGIA"
2105,000,"CIA DIGI COMPANHIA DIGITAL LTDA",
2106,000,"UNICARGO TRANSPORTES E CARGAS LTDA","UNICARGO"
2110,000,"RESISTRONIC COMPONENTES ELETRONICOS LTDA","RESISTRONIC COMPONENTES ELETRONICOS LTDA"
2107,000,"INSTITUTO LAB SYSTEM DE PESQUISAS E ENSAIOS LTDA - EPP","LABSYSTEN"
2124,000,"SERTEC INDUSTRIA MECÂNICA LTDA","SERTEC INDUSTRIA MECÂNICA LTDA"
2108,000,"ITAPUI TUBOS E CONEXOES EIRELI","ITAPUI TUBOS E CONEXOES EIRELI"
2112,000,"DIRECT EXPRESS LOGISTICA INTEGRADA S/A","DIRECT EXPRESS"
2113,000,"TELEFONICA BRASIL S/A","VIVO GUAIBA"
2114,000,"UTILIDADES ELÉTRICAS COM. E IMP. LTDA","UTILIDADES ELÉTRICAS"
2115,000,"FORTPEL	- COMÉRCIO DE DESCARTÁVEIS LTDA","FORTPEL"
2129,000,"ECOLITE DO BRASIL INDUSTRIAL LTDA.","ECOLITE DO BRASIL INDUSTRIAL LTDA."
2116,000,"DYNAPAC DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS LTDA","DYNAPAC DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS LTDA"
2117,000,"GURGELMIX MAQUINAS E FERRAMENTAS S.A.","GURGELMIX MAQUINAS E FERRAMENTAS S.A."
2118,000,"DINAMIZOL HIGIENIZADORA, EMPRESA PRESTADORA DE SERVICOS PARA","DINAMIZOL"
2119,000,"CULTIV SERVS DE APOIO OPERACIONAL LTDA","CULTIV"
2120,000,"MACROSERVICE TÉCNICA COMERCIAL LTDA","MACROSERVICE"
2125,000,"MARI TERESINHA CARVALHO FORLI","CONSTRUFORTE"
